be
10 8 6 20 4 3 22 1 0 15 16 
  (gap=5) i=5, key=3, pos=0 : 3 8 6 20 4 10 22 1 0 15 16 
  (gap=5) i=6, key=22, pos=6 : 3 8 6 20 4 10 22 1 0 15 16 
  (gap=5) i=7, key=1, pos=2 : 3 8 1 20 4 10 22 6 0 15 16 
  (gap=5) i=8, key=0, pos=3 : 3 8 1 0 4 10 22 6 20 15 16 
  (gap=5) i=9, key=15, pos=9 : 3 8 1 0 4 10 22 6 20 15 16 
  (gap=5) i=10, key=16, pos=10 : 3 8 1 0 4 10 22 6 20 15 16 
  (gap=2) i=2, key=1, pos=0 : 1 8 3 0 4 10 22 6 20 15 16 
  (gap=2) i=3, key=0, pos=1 : 1 0 3 8 4 10 22 6 20 15 16 
  (gap=2) i=4, key=4, pos=4 : 1 0 3 8 4 10 22 6 20 15 16 
  (gap=2) i=5, key=10, pos=5 : 1 0 3 8 4 10 22 6 20 15 16 
  (gap=2) i=6, key=22, pos=6 : 1 0 3 8 4 10 22 6 20 15 16 
  (gap=2) i=7, key=6, pos=3 : 1 0 3 6 4 8 22 10 20 15 16 
  (gap=2) i=8, key=20, pos=6 : 1 0 3 6 4 8 20 10 22 15 16 
  (gap=2) i=9, key=15, pos=9 : 1 0 3 6 4 8 20 10 22 15 16 
  (gap=2) i=10, key=16, pos=6 : 1 0 3 6 4 8 16 10 20 15 22 
  (gap=1) i=1, key=0, pos=0 : 0 1 3 6 4 8 16 10 20 15 22 
  (gap=1) i=2, key=3, pos=2 : 0 1 3 6 4 8 16 10 20 15 22 
  (gap=1) i=3, key=6, pos=3 : 0 1 3 6 4 8 16 10 20 15 22 
  (gap=1) i=4, key=4, pos=3 : 0 1 3 4 6 8 16 10 20 15 22 
  (gap=1) i=5, key=8, pos=5 : 0 1 3 4 6 8 16 10 20 15 22 
  (gap=1) i=6, key=16, pos=6 : 0 1 3 4 6 8 16 10 20 15 22 
  (gap=1) i=7, key=10, pos=6 : 0 1 3 4 6 8 10 16 20 15 22 
  (gap=1) i=8, key=20, pos=8 : 0 1 3 4 6 8 10 16 20 15 22 
  (gap=1) i=9, key=15, pos=7 : 0 1 3 4 6 8 10 15 16 20 22 
  (gap=1) i=10, key=22, pos=10 : 0 1 3 4 6 8 10 15 16 20 22 
af
0 1 3 4 6 8 10 15 16 20 22 
